Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/28/2025,07/29/2025,SAINSBURYS S/MKTS,Groceries,Sale,-11.63,
07/27/2025,07/29/2025,30735 WORLDGATE ATHLETIC,Health & Wellness,Sale,-15.00,
07/26/2025,07/28/2025,P.F.CHANG'S  9937 POS,Food & Drink,Sale,-49.29,
07/27/2025,07/28/2025,AMC 0367 WORLDGATE 9,Entertainment,Sale,-15.48,
07/24/2025,07/25/2025,JWD Lamian Noodle Bar,Food & Drink,Sale,-15.00,
07/22/2025,07/24/2025,CHICK-FIL-A #01045,Food & Drink,Sale,-8.73,
07/22/2025,07/23/2025,BALLSTON CAFE INC,Groceries,Sale,-9.20,
07/21/2025,07/22/2025,SAINSBURYS S/MKTS,Groceries,Sale,-7.60,
07/20/2025,07/21/2025,TST* MAMAN - MOSAIC,Food & Drink,Sale,-115.32,
07/19/2025,07/21/2025,TST*PINCH UNION MARKET,Groceries,Sale,-15.95,
07/20/2025,07/21/2025,Zettle_*Feel Good London,Food & Drink,Sale,-6.34,
07/19/2025,07/21/2025,TST*THE DISTRICT FISHWIF,Food & Drink,Sale,-19.80,
07/19/2025,07/20/2025,TJ MAXX #851,Shopping,Sale,-32.82,
07/16/2025,07/17/2025,TESCO STORES 6601,Groceries,Sale,-9.16,
07/12/2025,07/14/2025,UBER   *EATS,Food & Drink,Sale,-27.46,
07/13/2025,07/14/2025,Z BURGER RESTON,Food & Drink,Sale,-34.29,
07/12/2025,07/14/2025,PIZZA HUT 004489,Food & Drink,Sale,-13.43,
07/13/2025,07/14/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-20.39,
07/11/2025,07/13/2025,HARRIS TEETER #0085,Groceries,Sale,-3.54,
07/09/2025,07/09/2025,DD *DOORDASH RESTAURAN,Food & Drink,Sale,-119.07,
07/04/2025,07/06/2025,EXXON TRI-STATE,Gas,Sale,-18.88,
07/05/2025,07/06/2025,BATTLEFIELD TOWING STORA,Automotive,Sale,-210.00,
07/03/2025,07/04/2025,Garden Cafe,Food & Drink,Sale,-15.13,
07/03/2025,07/04/2025,BURGER BROTHERS,Food & Drink,Sale,-17.88,
07/03/2025,07/04/2025,AHZ OF CHANTILLY INC.,Gas,Sale,-30.04,
07/03/2025,07/04/2025,Garden Cafe,Food & Drink,Sale,-7.70,
07/01/2025,07/02/2025,SAINSBURYS S/MKTS,Groceries,Sale,-13.32,
07/01/2025,07/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
06/30/2025,07/01/2025,BALLSTON CAFE INC,Groceries,Sale,-10.99,
06/29/2025,06/30/2025,TESCO STORES 6009,Groceries,Sale,-1.72,
06/29/2025,06/30/2025,TST-Bun and Sum Restau,Food & Drink,Sale,-12.72,
06/28/2025,06/29/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-11.15,
06/25/2025,06/27/2025,RED LOBSTER 6255,Food & Drink,Sale,-48.75,
06/26/2025,06/27/2025,ICELAND,Groceries,Sale,-4.72,
06/26/2025,06/26/2025,Payment Thank You-Mobile,,Payment,2000.00,
06/23/2025,06/24/2025,TESCO STORES 5599,Groceries,Sale,-9.85,
06/22/2025,06/23/2025,SQ *PAVILION BAKERY COLUM,Food & Drink,Sale,-5.41,
06/22/2025,06/23/2025,SQ *BLANK STREET UK LIMIT,Food & Drink,Sale,-5.27,
06/20/2025,06/22/2025,FLYWIRE*QUEEN MARY UNI,Education,Sale,-1946.00,
06/20/2025,06/22/2025,VER*WAWA WINGS,Food & Drink,Sale,-8.02,
06/21/2025,06/22/2025,COSTCO WHSE #0218,Shopping,Sale,-129.42,
06/21/2025,06/22/2025,HARRIS TEETER #0085,Groceries,Sale,-10.79,
06/18/2025,06/19/2025,SAINSBURYS S/MKTS,Groceries,Sale,-14.27,
06/12/2025,06/15/2025,CARDS GALORE,Shopping,Sale,-15.43,
06/14/2025,06/15/2025,Genesis Cinema,Entertainment,Sale,-6.82,
06/07/2025,06/09/2025,UBER   *TRIP,Travel,Sale,-21.67,
06/08/2025,06/09/2025,SQ *BABABOOM - WESTFIELD,Groceries,Sale,-20.26,
06/06/2025,06/08/2025,SERPENTINE BAR&amp;KITCHEN,Food & Drink,Sale,-20.43,
06/03/2025,06/04/2025,UBER   *EATS,Food & Drink,Sale,-21.13,
06/01/2025,06/02/2025,Whitechapel Fried Chicke,Food & Drink,Sale,-9.46,
06/01/2025,06/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,1426.08,
05/30/2025,06/01/2025,DHC Shaftesbury Avenue,Food & Drink,Sale,-17.94,
05/28/2025,05/29/2025,TESCO STORES 6601,Groceries,Sale,-8.79,
05/25/2025,05/26/2025,Costa Coffee,Food & Drink,Sale,-5.56,
05/21/2025,05/22/2025,Yole,Food & Drink,Sale,-9.31,
05/18/2025,05/20/2025,UNITED      0162465534710,Travel,Return,5.60,
05/19/2025,05/20/2025,Fly Jinnah - Czmo,Travel,Return,172.26,
05/19/2025,05/20/2025,Fly Jinnah - Czmo,Travel,Return,2.54,
05/11/2025,05/13/2025,RED LOBSTER 0860,Food & Drink,Sale,-79.52,
05/12/2025,05/13/2025,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
05/03/2025,05/05/2025,PRIMARK 671,Shopping,Sale,-33.34,
05/01/2025,05/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,449.76,
04/29/2025,04/30/2025,TURKISH AIRL00000004YI3OM,Travel,Sale,-1383.71,
04/28/2025,04/29/2025,SumUp  *KAZFAZ LTD,Food & Drink,Sale,-10.69,
04/26/2025,04/27/2025,TST* PERCH PUTT - WATERMA,Food & Drink,Sale,-16.96,
04/24/2025,04/25/2025,DOMINO'S 4317,Food & Drink,Sale,-11.06,
04/24/2025,04/25/2025,WH Smith Paddington,Shopping,Sale,-4.12,
04/21/2025,04/23/2025,Fly Jinnah - Czmo,Travel,Sale,-3.03,
04/21/2025,04/22/2025,TESCO STORES 5599,Groceries,Sale,-10.58,
04/21/2025,04/22/2025,UBER   *EATS,Food & Drink,Sale,-25.84,
04/20/2025,04/21/2025,PP*APPLE.COM/BILL,Shopping,Sale,-0.99,
04/18/2025,04/20/2025,Jollibee UK,Food & Drink,Sale,-7.29,
04/16/2025,04/17/2025,SAINSBURYS S/MKTS,Groceries,Sale,-27.17,
04/15/2025,04/15/2025,UBER   *TRIP,Travel,Sale,-5.75,
04/13/2025,04/14/2025,Zettle_*Kova Patisserie,Food & Drink,Sale,-9.07,
04/11/2025,04/13/2025,COSTA COFFEE 43011461,Food & Drink,Sale,-4.35,
04/12/2025,04/13/2025,BENUGO ST JAMES PARK,Food & Drink,Sale,-21.04,
04/12/2025,04/13/2025,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
04/12/2025,04/13/2025,BAMYAN JEWELLERY,Shopping,Sale,-13.15,
04/08/2025,04/09/2025,TESCO STORES 5599,Groceries,Sale,-15.01,
04/04/2025,04/06/2025,HOLY SMOKES BBQ 02,Food & Drink,Sale,-26.42,
04/04/2025,04/06/2025,TESCO STORES 6009,Groceries,Sale,-8.26,
04/03/2025,04/04/2025,Fly Jinnah - Czmo,Travel,Sale,-174.38,
02/17/2025,04/03/2025,PAYPAL *VINSEKR 402402,Professional Services,Adjustment,29.95,
04/01/2025,04/02/2025,TESCO STORES 6601,Groceries,Sale,-4.57,
04/01/2025,04/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,1712.50,
03/31/2025,04/01/2025,FACEBK *9LGJJLYT52,Professional Services,Sale,-20.94,
03/30/2025,03/31/2025,DILPASAND RESTAURANT,Food & Drink,Sale,-13.59,
03/29/2025,03/30/2025,SAINSBURYS S/MKTS,Groceries,Sale,-12.97,
03/27/2025,03/28/2025,TESCO STORES 2122,Groceries,Sale,-19.03,
03/24/2025,03/25/2025,Watan Ilford,Food & Drink,Sale,-32.03,
03/21/2025,03/21/2025,PP*APPLE.COM/BILL,Shopping,Sale,-0.99,
03/20/2025,03/21/2025,TESCO STORES 5599,Groceries,Sale,-7.35,
03/18/2025,03/20/2025,CITY SPICE,Food & Drink,Sale,-11.90,
03/13/2025,03/14/2025,JWD Lamian Noodle Bar,Food & Drink,Sale,-17.93,
03/12/2025,03/13/2025,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
03/09/2025,03/10/2025,HARRIS TEETER #0085,Groceries,Sale,-0.51,
03/09/2025,03/10/2025,TESCO STORES 5599,Groceries,Sale,-8.79,
03/08/2025,03/09/2025,HARRIS TEETER #0085,Groceries,Sale,-15.03,
03/07/2025,03/09/2025,SAINSBURYS S/MKTS,Groceries,Sale,-10.99,
03/06/2025,03/07/2025,TARGET.COM  *,Shopping,Sale,-42.24,
03/05/2025,03/06/2025,MARSHALLS #0548,Shopping,Sale,-26.49,
03/05/2025,03/06/2025,SQ *CHA (STERLING VA),Food & Drink,Sale,-12.72,
03/04/2025,03/06/2025,UNITED      0162465534710,Travel,Sale,-5.60,
03/05/2025,03/06/2025,SQ *DELHI &amp; CO.,Food & Drink,Sale,-14.84,
03/03/2025,03/05/2025,JUNAID JAMSHED,Shopping,Sale,-24.83,
03/01/2025,03/02/2025,DOMINO'S 4317,Food & Drink,Sale,-11.79,
03/01/2025,03/02/2025,PENROSE SQUARE,Travel,Sale,-5.00,
03/01/2025,03/02/2025,TESCO STORES 5599,Groceries,Sale,-4.67,
02/27/2025,02/28/2025,HARRIS TEETER #0085,Groceries,Sale,-8.89,
02/27/2025,02/28/2025,SQ *DELHI &amp; CO.,Food & Drink,Sale,-12.57,
02/26/2025,02/27/2025,HARRIS TEETER #0085,Groceries,Sale,-2.01,
02/24/2025,02/26/2025,CHICK-FIL-A #01045,Food & Drink,Sale,-10.59,
02/24/2025,02/25/2025,TARGET        00010884,Shopping,Sale,-32.23,
02/22/2025,02/24/2025,SHINWARI,Food & Drink,Sale,-133.69,
02/23/2025,02/24/2025,HARRIS TEETER #0085,Groceries,Sale,-7.62,
02/22/2025,02/24/2025,FLAGSHIP CAR WASH OF C,Automotive,Sale,-25.00,
02/23/2025,02/24/2025,HARRIS TEETER #0085,Groceries,Sale,-5.13,
02/23/2025,02/24/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-79.38,
02/23/2025,02/23/2025,Payment Thank You-Mobile,,Payment,1000.00,
02/21/2025,02/23/2025,ASDA STORES,Groceries,Sale,-24.56,
02/22/2025,02/23/2025,TESCO STORES 5599,Groceries,Sale,-5.01,
02/22/2025,02/23/2025,QATAR AIR   0002122718806,Travel,Sale,-537.15,
02/20/2025,02/21/2025,PP*APPLE.COM/BILL,Shopping,Sale,-0.99,
02/19/2025,02/20/2025,QATAR AIR   0002122669177,Travel,Sale,-459.41,
02/18/2025,02/19/2025,SAINSBURYS S/MKTS,Groceries,Sale,-24.72,
02/17/2025,02/18/2025,PAYPAL *VINSEKR 402402,Professional Services,Sale,-29.95,
02/15/2025,02/17/2025,PAYPAL *FRIENDSINDU FR,Gifts & Donations,Sale,-52.60,
02/14/2025,02/16/2025,DD *DOORDASH JESBLOOMS,Food & Drink,Sale,-79.39,
02/14/2025,02/16/2025,SAFFORD BROWN HYUNDAI FA,Automotive,Sale,-1000.00,
02/14/2025,02/16/2025,TESCO STORES 5599,Groceries,Sale,-6.22,
02/12/2025,02/13/2025,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
02/11/2025,02/12/2025,WWW.AMAZON.* RT2LU14K4,Shopping,Sale,-28.56,
02/10/2025,02/11/2025,SAINSBURYS S/MKTS,Groceries,Sale,-12.75,
02/10/2025,02/11/2025,PAYPAL *VINSEKR,Professional Services,Sale,-1.00,
02/10/2025,02/11/2025,PAYPAL *VINHISTORY 138541,Bills & Utilities,Sale,-1.00,
02/10/2025,02/11/2025,PAYPAL *VINHISTORY,Bills & Utilities,Sale,-1.00,
02/09/2025,02/10/2025,WAL-MART #2412,Groceries,Sale,-23.26,
02/07/2025,02/09/2025,SQ *CHA TYSONS,Food & Drink,Sale,-24.38,
02/06/2025,02/09/2025,SHELL OIL 91002279938,Gas,Sale,-7.96,
02/08/2025,02/09/2025,TST* PARIS BAGUETTE - 401,Food & Drink,Sale,-6.39,
02/07/2025,02/09/2025,GRUBHUB*CHAOPHRAYATHAI,Food & Drink,Sale,-17.94,
02/02/2025,02/02/2025,Payment Thank You-Mobile,,Payment,1175.65,
01/30/2025,02/02/2025,METRO 120-HERNDON,Travel,Sale,-10.00,
02/01/2025,02/02/2025,SAINSBURYS S/MKTS,Groceries,Sale,-6.99,
02/01/2025,02/02/2025,DC PARK*METER MULTI,Bills & Utilities,Sale,-2.30,
02/01/2025,02/02/2025,DC PARK*METER MULTI,Bills & Utilities,Sale,-5.98,
01/31/2025,02/02/2025,TESCO STORES 5599,Groceries,Sale,-2.43,
01/31/2025,01/31/2025,AUTOMATIC PAYMENT - THANK,,Payment,395.69,
01/28/2025,01/30/2025,METRO 120-HERNDON,Travel,Sale,-12.00,
01/29/2025,01/30/2025,DRAPERS BAR,Food & Drink,Sale,-12.51,
01/28/2025,01/30/2025,METRO 120-HERNDON,Travel,Sale,-3.50,
01/26/2025,01/29/2025,SUNOCO 0402274500,Gas,Sale,-20.21,
01/27/2025,01/29/2025,SAINSBURYS S/MKTS,Groceries,Sale,-14.82,
01/24/2025,01/26/2025,SAINSBURYS S/MKTS,Groceries,Sale,-5.88,
01/23/2025,01/24/2025,temu.com,Shopping,Sale,-75.67,
01/22/2025,01/23/2025,HOMEGOODS #0636,Shopping,Sale,-31.79,
01/22/2025,01/23/2025,FAIRPRICE HALAL MEAT &amp; G,Groceries,Sale,-5.04,
01/22/2025,01/23/2025,FAIRPRICE HALAL MEAT &amp; G,Groceries,Sale,-52.93,
01/22/2025,01/23/2025,SAINSBURYS S/MKTS,Groceries,Sale,-31.19,
01/22/2025,01/22/2025,PP*APPLE.COM/BILL,Shopping,Sale,-0.99,
01/20/2025,01/21/2025,1947 London,Food & Drink,Sale,-18.86,
01/19/2025,01/21/2025,CAFFE NERO 40 PORTCULLIS,Food & Drink,Sale,-11.02,
01/20/2025,01/21/2025,ODEON HAYMARKET,Entertainment,Sale,-24.48,
01/17/2025,01/19/2025,Dirty Dicks,Food & Drink,Sale,-10.00,
01/16/2025,01/17/2025,QMUL CO MA32,Education,Sale,-24.62,
01/16/2025,01/17/2025,Little Pudding,Food & Drink,Sale,-9.79,
01/15/2025,01/16/2025,GAILS GREENWICH,Food & Drink,Sale,-7.47,
01/14/2025,01/15/2025,temu.com,Shopping,Sale,-26.10,
01/13/2025,01/15/2025,HOMEGOODS #0636,Shopping,Return,31.79,
01/13/2025,01/14/2025,THE GRIFF INN,Shopping,Sale,-7.21,
01/12/2025,01/13/2025,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
01/11/2025,01/13/2025,PRIMARK TYSONS CORNER 116,Shopping,Sale,-18.02,
01/10/2025,01/12/2025,SAINSBURYS S/MKTS,Groceries,Sale,-24.49,
01/10/2025,01/12/2025,THE HOME DEPOT #4641,Home,Sale,-33.85,
01/11/2025,01/12/2025,HOMEGOODS #494,Shopping,Sale,-63.04,
01/09/2025,01/10/2025,HARRIS TEETER #0085,Groceries,Sale,-0.32,
01/05/2025,01/06/2025,SP POLENE USA INC,Shopping,Sale,-600.00,
01/04/2025,01/05/2025,HOMEGOODS #0636,Shopping,Sale,-18.53,
01/04/2025,01/05/2025,SAINSBURYS S/MKTS,Groceries,Sale,-9.33,
01/02/2025,01/03/2025,ICELAND,Groceries,Sale,-4.91,
01/02/2025,01/03/2025,TJ MAXX #851,Shopping,Sale,-28.61,
01/01/2025,01/02/2025,HARRIS TEETER #0085,Groceries,Sale,-4.94,
01/01/2025,01/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,1151.30,
12/31/2024,01/01/2025,SumUp  *KAZFAZ LTD,Food & Drink,Sale,-10.09,
12/30/2024,12/31/2024,AMAZON* Y051N6SM5,Shopping,Sale,-30.21,
12/30/2024,12/31/2024,SAINSBURYS S/MKTS,Groceries,Sale,-12.17,
12/29/2024,12/30/2024,TESCO STORES 5599,Groceries,Sale,-11.51,
12/28/2024,12/30/2024,THE HOME DEPOT #4641,Home,Sale,-9.21,
12/29/2024,12/30/2024,Subway 14624,Food & Drink,Sale,-23.82,
12/29/2024,12/30/2024,HARRIS TEETER #0085,Groceries,Sale,-4.33,
12/27/2024,12/29/2024,temu.com,Shopping,Sale,-34.86,
12/27/2024,12/29/2024,WATERSTONES FOYLES - STRA,Shopping,Sale,-12.54,
12/27/2024,12/29/2024,TST* HYDERABADI BIRYANI P,Food & Drink,Sale,-26.49,
12/24/2024,12/25/2024,HARRIS TEETER #0085,Groceries,Sale,-16.93,
12/24/2024,12/25/2024,SAINSBURYS S/MKTS,Groceries,Sale,-8.46,
12/22/2024,12/23/2024,WHITECHAPEL FRIED CHICKEN,Food & Drink,Sale,-8.20,
12/20/2024,12/22/2024,BENUGO ST JAMES PARK,Food & Drink,Sale,-5.00,
12/19/2024,12/20/2024,TESCO STORES 5599,Groceries,Sale,-4.14,
12/18/2024,12/19/2024,Coco Canary Wharf,Food & Drink,Sale,-24.19,
12/13/2024,12/15/2024,TESCO STORES  2097,Groceries,Sale,-4.22,
12/13/2024,12/15/2024,KANTEEN,Food & Drink,Sale,-4.55,
12/13/2024,12/15/2024,JWD Lamian Noodle Bar,Food & Drink,Sale,-17.65,
12/11/2024,12/13/2024,CURDLE,Food & Drink,Sale,-2.14,
12/12/2024,12/13/2024,5304 Winter Wonderland,Food & Drink,Sale,-15.35,
12/12/2024,12/13/2024,5207 Winter Wonderland,Food & Drink,Sale,-15.35,
12/12/2024,12/13/2024,GINSOY,Food & Drink,Sale,-3.07,
12/11/2024,12/13/2024,YOFROYO,Food & Drink,Sale,-3.12,
12/12/2024,12/13/2024,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
12/11/2024,12/12/2024,APPLE.COM/BILL,Shopping,Sale,-1.99,
12/11/2024,12/12/2024,SQ *EPIC,Food & Drink,Sale,-12.76,
12/09/2024,12/10/2024,COSTA COFFEE 43011461,Food & Drink,Sale,-4.87,
12/08/2024,12/09/2024,TESCO STORES 5599,Groceries,Sale,-7.24,
12/04/2024,12/05/2024,SAINSBURYS S/MKTS,Groceries,Sale,-25.47,
12/04/2024,12/05/2024,TESCO STORES 5599,Groceries,Sale,-27.10,
12/03/2024,12/04/2024,COSTA COFFEE 43011195,Food & Drink,Sale,-4.85,
12/01/2024,12/01/2024,AUTOMATIC PAYMENT - THANK,,Payment,212.83,
11/29/2024,12/01/2024,TESCO STORES 5599,Groceries,Sale,-10.14,
11/27/2024,11/28/2024,SAINSBURYS S/MKTS,Groceries,Sale,-3.28,
11/26/2024,11/27/2024,QMUL THE CURVE STARBUCKS,Education,Sale,-3.66,
11/22/2024,11/25/2024,AMAZON* TE3WT19V4,Shopping,Sale,-555.55,
11/23/2024,11/24/2024,CL *Chase Travel,Travel,Sale,-395.96,
11/13/2024,11/15/2024,TFL TRAVEL CH,Travel,Sale,-2.24,
11/12/2024,11/13/2024,TESCO STORES 5599,Groceries,Sale,-7.75,
11/12/2024,11/12/2024,Payment Thank You-Mobile,,Payment,500.00,
11/12/2024,11/12/2024,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
11/07/2024,11/10/2024,PAYPAL *UBER EATS,Food & Drink,Sale,-6.57,
11/08/2024,11/10/2024,CLR*GORDON RAMSAY RES,Food & Drink,Sale,-42.75,
11/07/2024,11/10/2024,PAYPAL *UBER EATS,Food & Drink,Sale,-65.62,
11/06/2024,11/07/2024,COSTA COFFEE 43011461,Food & Drink,Sale,-4.96,
11/05/2024,11/06/2024,KFC - LONDON SOUTHAMPTON,Food & Drink,Sale,-3.89,
11/05/2024,11/06/2024,AMAZON* TX7VU7MU4,Shopping,Sale,-42.09,
11/03/2024,11/04/2024,TESCO STORES 5599,Groceries,Sale,-7.78,
11/02/2024,11/03/2024,Pizza Pilgrims,Food & Drink,Sale,-14.85,
11/02/2024,11/03/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-28.05,
11/01/2024,11/01/2024,AUTOMATIC PAYMENT - THANK,,Payment,347.44,
10/31/2024,11/01/2024,TESCO STORES 6009,Groceries,Sale,-2.61,
10/31/2024,11/01/2024,BELBIM AS. ULASIM,Travel,Sale,-0.88,
10/30/2024,10/31/2024,BELBIM AS. ULASIM,Travel,Sale,-0.88,
10/30/2024,10/31/2024,BELBIM AS. ULASIM,Travel,Sale,-0.88,
10/30/2024,10/31/2024,SAINSBURYS S/MKTS,Groceries,Sale,-16.34,
10/29/2024,10/30/2024,UBER *TRIP HELP.UBER.COM,Travel,Sale,-37.89,
10/26/2024,10/28/2024,PRIMARK 671,Shopping,Sale,-40.96,
10/25/2024,10/27/2024,NAIF,Gifts & Donations,Sale,-20.00,
10/26/2024,10/27/2024,HARRIS TEETER #0085,Groceries,Sale,-1.91,
10/25/2024,10/27/2024,TESCO STORES 5599,Groceries,Sale,-12.30,
10/24/2024,10/25/2024,TESCO STORES 5599,Groceries,Sale,-7.79,
10/22/2024,10/23/2024,HARRIS TEETER #0085,Groceries,Sale,-6.18,
10/22/2024,10/23/2024,HARRIS TEETER #0085,Groceries,Sale,-4.53,
10/21/2024,10/22/2024,TESCO STORES 6601,Groceries,Sale,-4.64,
10/18/2024,10/20/2024,SAINSBURYS S/MKTS,Groceries,Sale,-14.00,
10/16/2024,10/17/2024,Bonbons,Food & Drink,Sale,-5.90,
10/16/2024,10/17/2024,EATALY,Food & Drink,Sale,-5.90,
10/14/2024,10/15/2024,THE GRIFF INN,Shopping,Sale,-2.23,
10/14/2024,10/15/2024,Fly Jinnah - Czmo,Travel,Sale,-174.70,
10/14/2024,10/15/2024,SAINSBURYS S/MKTS,Groceries,Sale,-39.06,
10/13/2024,10/14/2024,HARRIS TEETER #0085,Groceries,Sale,-2.53,
10/12/2024,10/13/2024,NATURAL HISTORY MUSEUM,Food & Drink,Sale,-17.02,
10/12/2024,10/13/2024,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
10/11/2024,10/13/2024,NAIF,Gifts & Donations,Sale,-10.00,
10/11/2024,10/13/2024,TESCO STORES 5599,Groceries,Sale,-8.50,
10/12/2024,10/13/2024,SumUp  *K FOOD LONON L,Food & Drink,Sale,-7.46,
10/10/2024,10/11/2024,HARRIS TEETER #0085,Groceries,Sale,-9.07,
10/09/2024,10/10/2024,NYA*Refreshment System,Groceries,Sale,-1.84,
10/09/2024,10/10/2024,DD *DOORDASH NOTHINGBU,Food & Drink,Sale,-39.13,
10/09/2024,10/10/2024,LYFT   *2 RIDES 10-08,Travel,Sale,-49.74,
10/09/2024,10/10/2024,HARRIS TEETER #0085,Groceries,Sale,-10.60,
10/09/2024,10/09/2024,Coffee Republic,Food & Drink,Sale,-7.86,
10/09/2024,10/09/2024,LYFT   *1 RIDE 10-07,Travel,Sale,-44.99,
10/07/2024,10/08/2024,HYDERABADI BIRYANI POT,Food & Drink,Sale,-23.84,
10/04/2024,10/06/2024,TFL TRAVEL CH,Travel,Sale,-2.50,
10/04/2024,10/06/2024,PRIMARK 671,Shopping,Sale,-25.50,
10/03/2024,10/04/2024,THUNDERBIRD FRIED CHIC,Food & Drink,Sale,-10.98,
10/02/2024,10/03/2024,CIRCLE AND SLICE,Food & Drink,Sale,-11.58,
10/01/2024,10/01/2024,AUTOMATIC PAYMENT - THANK,,Payment,334.55,
09/28/2024,09/29/2024,Payment Thank You-Mobile,,Payment,1000.00,
09/28/2024,09/29/2024,SPORTSDIRECT 44,Shopping,Sale,-69.84,
09/28/2024,09/29/2024,GROUND,Shopping,Sale,-4.03,
09/26/2024,09/27/2024,THE GRIFF INN,Shopping,Sale,-4.16,
09/26/2024,09/27/2024,HARRIS TEETER #0085,Groceries,Sale,-7.58,
09/25/2024,09/26/2024,SQ *GUTE LEUTE,Food & Drink,Sale,-7.70,
09/21/2024,09/23/2024,PRIMARK TYSONS CORNER 116,Shopping,Sale,-8.48,
09/22/2024,09/23/2024,MACKBEAR COFFEE CO UK,Food & Drink,Sale,-9.94,
09/22/2024,09/22/2024,TST* JAMBA JUICE - 1568 -,Food & Drink,Sale,-1.33,
09/20/2024,09/22/2024,Honest Burger,Food & Drink,Sale,-27.10,
09/20/2024,09/22/2024,QUEEN MARY UNIVERSITY ZER,Groceries,Sale,-5.31,
09/19/2024,09/20/2024,PPOINT_*EAST END NEWS 311,Groceries,Sale,-6.65,
09/17/2024,09/18/2024,GROUND,Shopping,Sale,-8.86,
09/16/2024,09/17/2024,HARRIS TEETER #0085,Groceries,Sale,-5.24,
09/14/2024,09/16/2024,UBR* PENDING.UBER.COM,Travel,Sale,-10.42,
09/14/2024,09/16/2024,UBR* PENDING.UBER.COM,Travel,Sale,-11.71,
09/12/2024,09/15/2024,STAGECOACH,Travel,Sale,-2.63,
09/14/2024,09/15/2024,SQ *BIKE LANE BREWING,Food & Drink,Sale,-4.77,
09/14/2024,09/15/2024,GBK T/A SLIM CHICKENS LIV,Food & Drink,Sale,-19.68,
09/13/2024,09/15/2024,HARRIS TEETER #0085,Groceries,Sale,-4.53,
09/14/2024,09/15/2024,HARRIS TEETER #0085,Groceries,Sale,-1.01,
09/14/2024,09/15/2024,TESCO STORES 6009,Groceries,Sale,-6.71,
09/13/2024,09/13/2024,PAYPAL *MICROSOFT,Shopping,Sale,-1.99,
09/12/2024,09/13/2024,HARRIS TEETER #0085,Groceries,Sale,-4.03,
09/11/2024,09/12/2024,COSTA COFFEE 43011789,Food & Drink,Sale,-7.41,
09/09/2024,09/10/2024,HARRIS TEETER #0085,Groceries,Sale,-1.01,
09/08/2024,09/09/2024,QUEEN MARY UNIVERSITY  EP,Education,Sale,-79.45,
09/08/2024,09/09/2024,TESCO-STORES 2225,Groceries,Sale,-3.31,
09/01/2024,09/01/2024,AUTOMATIC PAYMENT - THANK,,Payment,212.16,
08/30/2024,09/01/2024,LYFT   *RIDE THU 11AM,Travel,Sale,-9.68,
08/31/2024,09/01/2024,SQ *KHOKHA,Food & Drink,Sale,-22.36,
08/29/2024,08/30/2024,HARRIS TEETER #0085,Groceries,Sale,-3.83,
